search_query_term,name,price,category,rating,review_count,seller_name,seller_rating,platform,url,timestamp
iphone,Apple iPhone 15 E2 80 8E E2 80 8E,56990.0,General,4.9,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-15%E2%80%8E%E2%80%8E-i.1275798143.29254213286?extraParams=%7B%22display_model_id%22%3A119201661663%2C%22model_selection_logic%22%3A3%7D&sp_atk=96ea8345-14c3-4406-a77b-d88a4afd7266&xptdk=96ea8345-14c3-4406-a77b-d88a4afd7266,2026-04-15T06:57:40.369131
iphone,Apple iPhone 14 E2 80 8E E2 80 8E E2 80 8E,30470.0,General,5.0,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-14%E2%80%8E-%E2%80%8E-%E2%80%8E-i.1275798143.28305022051?extraParams=%7B%22display_model_id%22%3A157375702186%2C%22model_selection_logic%22%3A3%7D&sp_atk=2cc37b45-8ba2-4a49-b59d-7f5e73d0656a&xptdk=2cc37b45-8ba2-4a49-b59d-7f5e73d0656a,2026-04-15T06:57:40.369152
iphone,Apple iPhone 16 E2 80 8E E2 80 8E E2 80 8E,43292.0,General,4.0,2000,,0.0,Shopee,https://shopee.ph/Apple-iPhone-16%E2%80%8E-%E2%80%8E-%E2%80%8E-i.1275798143.29362719421?extraParams=%7B%22display_model_id%22%3A109276125608%2C%22model_selection_logic%22%3A3%7D&sp_atk=93fce159-31f9-4cde-9db8-d8772489012b&xptdk=93fce159-31f9-4cde-9db8-d8772489012b,2026-04-15T07:37:07.880314
iphone,Apple iPhone 17 Pro Max,101990.0,General,4.9,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-17-Pro-Max-i.1275798143.26342037051?extraParams=%7B%22display_model_id%22%3A139454633407%2C%22model_selection_logic%22%3A3%7D&sp_atk=f6ad9b3c-baef-4848-9d97-32e66af2bfb7&xptdk=f6ad9b3c-baef-4848-9d97-32e66af2bfb7,2026-04-15T06:57:40.369204
iphone,Apple iPhone 17,57990.0,General,5.0,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-17-i.1275798143.41470739731?extraParams=%7B%22display_model_id%22%3A281694253334%2C%22model_selection_logic%22%3A3%7D&sp_atk=514af3b1-2df1-4637-a436-7d135fb33ab2&xptdk=514af3b1-2df1-4637-a436-7d135fb33ab2,2026-04-15T06:57:40.369214
iphone,Apple iPhone 17 Pro,79900.0,General,4.9,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-17-Pro-i.1275798143.40420862089?extraParams=%7B%22display_model_id%22%3A276701523739%2C%22model_selection_logic%22%3A3%7D&sp_atk=957bca5d-da63-4233-9b3b-151da86e84bb&xptdk=957bca5d-da63-4233-9b3b-151da86e84bb,2026-04-15T06:57:40.369226
iphone,Apple iPhone 16 Plus,62301.0,General,4.0,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-16-Plus-i.1275798143.29112709573?extraParams=%7B%22display_model_id%22%3A251691161554%2C%22model_selection_logic%22%3A3%7D&sp_atk=935bbca7-6ce0-4fdc-af36-a805149c4eec&xptdk=935bbca7-6ce0-4fdc-af36-a805149c4eec,2026-04-15T06:57:40.369236
iphone,Apple iPhone 14 6 1 inch,31490.0,General,1.0,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-14-(6.1-inch)-i.448087759.18048814533?extraParams=%7B%22display_model_id%22%3A145852318094%2C%22model_selection_logic%22%3A3%7D&sp_atk=f1d839bb-696c-470e-94f3-cc89ff9becae&xptdk=f1d839bb-696c-470e-94f3-cc89ff9becae,2026-04-15T06:57:40.369246
iphone,Apple iPhone 14 6 1 inch,36690.0,General,1.0,0,,0.0,Shopee,https://shopee.ph/Apple-iPhone-14-(6.1-inch)-i.350609763.20451780291?extraParams=%7B%22display_model_id%22%3A164669850532%2C%22model_selection_logic%22%3A3%7D&sp_atk=298f24a0-2363-463c-831d-5865e4cf3828&xptdk=298f24a0-2363-463c-831d-5865e4cf3828,2026-04-15T06:57:40.369256
iphone,NEW Apple iPhone 17e,44990.0,General,5.0,0,,0.0,Shopee,https://shopee.ph/-NEW-Apple-iPhone-17e-i.1275798143.48958031372?extraParams=%7B%22display_model_id%22%3A360712009560%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2003fb4-34a6-4afe-930e-0741ef4dd5e3&xptdk=d2003fb4-34a6-4afe-930e-0741ef4dd5e3,2026-04-15T06:57:40.369266
iphone,Apple iPhone 14,30690.0,General,4.985069321009599,2813,,0.0,Lazada,https://www.lazada.com.ph/products/pdp-i4565261403.html,2026-04-15T06:57:40.369278
iphone,Apple iPhone 17,54590.0,General,4.94299674267101,614,,0.0,Lazada,https://www.lazada.com.ph/products/pdp-i5260025926.html,2026-04-15T06:57:40.369297
iphone,Apple iPhone 17 (6.3 inch),57990.0,General,4.928571428571429,196,,0.0,Lazada,https://www.lazada.com.ph/products/pdp-i5250901107.html,2026-04-15T06:57:40.369364
iphone,Apple iPhone 16,44690.0,General,4.961298377028714,801,,0.0,Lazada,https://www.lazada.com.ph/products/pdp-i4684531224.html,2026-04-15T06:57:40.369375
